Model,Model_Type,Question_ID,Complexity,Bytes_Processed_MB,Slot_Seconds,Execution_Time_S,Bytes_Shuffled_B,Bytes_Spilled_B,Correct,Cost_USD
GPT-5.2 High Reasoning,Reasoning,S2,Simple,735.38,5.87,0.58,674,0,Y,0.0046
GPT-5.2 High Reasoning,Reasoning,S3,Simple,175.63,2.27,0.388,9,0,Y,0.0011
GPT-5.2 High Reasoning,Reasoning,S4,Simple,604.2,10.2,1.37,1340,0,Y,0.0038
GPT-5.2 High Reasoning,Reasoning,S5,Simple,735.38,12.06,6.05,236320000,0,Y,0.0046
GPT-5.2 High Reasoning,Reasoning,S6,Simple,2660,26.26,0.501,214520,0,Y,0.0166
GPT-5.2 High Reasoning,Reasoning,S7,Simple,259.58,2.66,0.353,1005,0,Y,0.0016
GPT-5.2 High Reasoning,Reasoning,S8,Simple,16020,231,3.88,149620,0,Y,0.1001
GPT-5.2 High Reasoning,Reasoning,S9,Simple,0,1.29,0.258,180,0,Y,0.0000
GPT-5.2 High Reasoning,Reasoning,S10,Simple,2750,162,9.79,4720000000,0,Y,0.0172
GPT-5.2 High Reasoning,Reasoning,M1,Medium,689.15,42.05,1.04,984720000,0,Y,0.0043
GPT-5.2 High Reasoning,Reasoning,M2,Medium,2660,20.99,0.487,223230,0,Y,0.0166
GPT-5.2 High Reasoning,Reasoning,M3,Medium,2070,15.36,0.851,5640000,0,Y,0.0129
GPT-5.2 High Reasoning,Reasoning,M4,Medium,351.26,2.98,0.433,270,0,Y,0.0022
GPT-5.2 High Reasoning,Reasoning,M5,Medium,3950,185,2.15,6170000000,0,Y,0.0247
GPT-5.2 High Reasoning,Reasoning,M6,Medium,1010,48.84,1.09,1270000000,0,Y,0.0063
GPT-5.2 High Reasoning,Reasoning,M7,Medium,3330,43.6,0.644,2580000,0,Y,0.0208
GPT-5.2 High Reasoning,Reasoning,M8,Medium,4430,100,1.46,606510000,0,Y,0.0277
GPT-5.2 High Reasoning,Reasoning,M9,Medium,1060,118,5.33,842100000,0,Y,0.0066
GPT-5.2 High Reasoning,Reasoning,M10,Medium,351.26,4.32,0.456,254340,0,Y,0.0022
GPT-5.2 High Reasoning,Reasoning,C1,Complex,1270,184,6.21,1920000000,0,Y,0.0079
GPT-5.2 High Reasoning,Reasoning,C2,Complex,1270,160,6.51,1450000000,0,Y,0.0079
GPT-5.2 High Reasoning,Reasoning,C3,Complex,4430,230,1.96,7990000000,0,Y,0.0277
GPT-5.2 High Reasoning,Reasoning,C4,Complex,175.63,2.66,0.518,5330,0,Y,0.0011
GPT-5.2 High Reasoning,Reasoning,C5,Complex,1600,104,1.39,2450000000,0,Y,0.0100
GPT-5.2 High Reasoning,Reasoning,C6,Complex,2660,184,1.85,4050000000,0,Y,0.0166
GPT-5.2 High Reasoning,Reasoning,C7,Complex,1990,132,5.18,2480000000,0,Y,0.0124
GPT-5.2 High Reasoning,Reasoning,C8,Complex,351.26,7.56,0.611,540,0,Y,0.0022
GPT-5.2 High Reasoning,Reasoning,C9,Complex,1880,476,12.91,4310000000,0,Y,0.0118
GPT-5.2 High Reasoning,Reasoning,C10,Complex,6100,654,4.73,10990000000,0,Y,0.0381
Gemini 3 Flash,Standard,S1,Simple,175.63,1.13,0.578,9,0,Y,0.0011
Gemini 3 Flash,Standard,S2,Simple,374.25,5,0.85,240,0,Y,0.0023
Gemini 3 Flash,Standard,S3,Simple,175.63,1.33,0.624,9,0,Y,0.0011
Gemini 3 Flash,Standard,S4,Simple,604.2,11.12,1.04,9,0,Y,0.0038
Gemini 3 Flash,Standard,S5,Simple,735.38,14,6.17,236320000,0,Y,0.0046
Gemini 3 Flash,Standard,S6,Simple,1390,34.02,0.786,110360,0,Y,0.0087
Gemini 3 Flash,Standard,S7,Simple,259.58,10.01,0.576,1060,0,Y,0.0016
Gemini 3 Flash,Standard,S8,Simple,14720,228,4,137310,0,Y,0.0920
Gemini 3 Flash,Standard,S9,Simple,0,1.48,0.391,180,0,Y,0.0000
Gemini 3 Flash,Standard,S10,Simple,16400,145,10.49,3140000000,0,Y,0.1025
Gemini 3 Flash,Standard,M1,Medium,546.39,49,1.21,737900000,0,Y,0.0034
Gemini 3 Flash,Standard,M2,Medium,13900,11.33,0.317,115950,0,Y,0.0869
Gemini 3 Flash,Standard,M3,Medium,1250,16.3,1.57,5380000,0,Y,0.0078
Gemini 3 Flash,Standard,M4,Medium,351.26,4.25,0.46,270,0,Y,0.0022
